Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Date,Year,Month,Day,Weekday,Temperature Difference,Power [W],Wear Category,RPM_Torque_Ratio,Air_Process_Interaction,Temperature_Wear_Interaction,ToolWear_roll_mean_1_hours,ToolWear_roll_mean_6_hours,ToolWear_roll_mean_12_hours,ToolWear_roll_mean_24_hours
L,298.9,308.6,1560,32.2,118,0,No Failure,2024-01-02 07:15:00,2024,1,2,Tuesday,9.700000000000045,5260.556300268097,Medium,48.44720496894409,92240.54,36414.8,113.0,88.41666666666667,62.416666666666664,103.88541666666667
L,299.0,308.6,1329,60.5,120,0,No Failure,2024-01-02 07:30:00,2024,1,2,Tuesday,9.600000000000023,8420.377429624665,Medium,21.96694214876033,92271.40000000001,37032.0,115.0,90.875,60.541666666666664,104.26041666666667
L,298.9,308.6,1413,46.5,122,0,No Failure,2024-01-02 07:45:00,2024,1,2,Tuesday,9.700000000000045,6880.91697386059,Medium,30.387096774193548,92240.54,37649.200000000004,117.0,93.33333333333333,63.041666666666664,104.63541666666667
L,299.0,308.6,1587,38.6,124,0,No Failure,2024-01-02 08:00:00,2024,1,2,Tuesday,9.600000000000023,6415.2773123324405,Medium,41.1139896373057,92271.40000000001,38266.4,119.0,95.79166666666667,65.54166666666667,105.01041666666667
L,298.9,308.5,1559,34.3,126,0,No Failure,2024-01-02 08:15:00,2024,1,2,Tuesday,9.600000000000023,5600.04398458445,Medium,45.45189504373178,92210.65,38871.0,121.0,98.20833333333333,68.04166666666667,105.375
L,298.8,308.4,1473,41.1,128,0,No Failure,2024-01-02 08:30:00,2024,1,2,Tuesday,9.599999999999966,6340.095090482574,Medium,35.83941605839416,92149.92,39475.2,123.0,100.625,70.47916666666667,105.73958333333333
L,298.8,308.4,1737,27.7,130,0,No Failure,2024-01-02 08:45:00,2024,1,2,Tuesday,9.599999999999966,5038.8425770777485,Medium,62.707581227436826,92149.92,40092.0,125.0,103.04166666666667,72.91666666666667,106.10416666666667
M,298.7,308.4,1441,43.2,132,0,No Failure,2024-01-02 09:00:00,2024,1,2,Tuesday,9.699999999999989,6519.26943699732,Medium,33.35648148148148,92119.07999999999,40708.799999999996,127.0,105.45833333333333,75.35416666666667,106.46875
M,298.7,308.4,1430,49.6,135,0,No Failure,2024-01-02 09:15:00,2024,1,2,Tuesday,9.699999999999989,7427.949061662199,Medium,28.83064516129032,92119.07999999999,41634.0,129.0,107.83333333333333,77.79166666666667,106.82291666666667
L,298.8,308.4,1369,53.0,138,0,No Failure,2024-01-02 09:30:00,2024,1,2,Tuesday,9.599999999999966,7598.546414209115,Medium,25.830188679245282,92149.92,42559.2,131.25,110.125,80.25,107.17708333333333
M,298.8,308.5,1711,28.5,140,0,No Failure,2024-01-02 09:45:00,2024,1,2,Tuesday,9.699999999999989,5106.767342493297,Medium,60.03508771929825,92179.8,43190.0,133.75,112.45833333333333,82.70833333333333,107.53125
H,298.7,308.5,1420,45.7,143,0,No Failure,2024-01-02 10:00:00,2024,1,2,Tuesday,9.800000000000011,6796.037198391422,Medium,31.072210065645514,92148.95,44115.5,136.25,114.79166666666667,85.10416666666667,107.88541666666667
L,298.7,308.6,1297,55.3,148,0,No Failure,2024-01-02 10:15:00,2024,1,2,Tuesday,9.900000000000034,7511.320794235924,Medium,23.453887884267633,92178.82,45672.8,139.0,117.04166666666667,87.52083333333333,108.21875
H,298.8,308.6,1449,49.4,150,0,No Failure,2024-01-02 10:30:00,2024,1,2,Tuesday,9.800000000000011,7496.292727882037,Medium,29.331983805668017,92209.68000000001,46290.0,142.25,119.375,89.97916666666667,108.58333333333333
L,298.8,308.6,1268,55.8,155,0,No Failure,2024-01-02 10:45:00,2024,1,2,Tuesday,9.800000000000011,7409.768766756031,High,22.724014336917563,92209.68000000001,47833.0,145.25,121.66666666666667,92.41666666666667,108.94791666666667
L,298.8,308.6,1511,36.1,157,0,No Failure,2024-01-02 11:00:00,2024,1,2,Tuesday,9.800000000000011,5712.45601541555,High,41.855955678670355,92209.68000000001,48450.200000000004,149.0,124.08333333333333,94.91666666666667,109.34375
L,298.7,308.5,1544,35.2,159,0,No Failure,2024-01-02 11:15:00,2024,1,2,Tuesday,9.800000000000011,5691.689008042896,High,43.86363636363636,92148.95,49051.5,152.5,126.5,97.41666666666667,109.72916666666667
M,298.6,308.4,1778,28.2,161,0,No Failure,2024-01-02 11:30:00,2024,1,2,Tuesday,9.799999999999955,5250.879691689008,High,63.04964539007092,92088.24,49652.399999999994,155.25,128.91666666666666,99.89583333333333,110.08333333333333
H,298.6,308.4,1407,50.5,164,0,No Failure,2024-01-02 11:45:00,2024,1,2,Tuesday,9.799999999999955,7441.092074396783,High,27.861386138613863,92088.24,50577.6,158.0,131.33333333333334,102.375,110.42708333333333
M,298.6,308.4,1391,42.4,169,0,No Failure,2024-01-02 12:00:00,2024,1,2,Tuesday,9.799999999999955,6176.524798927614,High,32.806603773584904,92088.24,52119.6,160.25,133.75,104.875,110.78125
L,298.5,308.4,1513,33.6,172,0,No Failure,2024-01-02 12:15:00,2024,1,2,Tuesday,9.899999999999977,5323.894101876676,High,45.029761904761905,92057.4,53044.799999999996,163.25,136.29166666666666,107.41666666666667,111.15625
H,298.5,308.4,1612,36.1,174,0,No Failure,2024-01-02 12:30:00,2024,1,2,Tuesday,9.899999999999977,6094.294571045577,High,44.65373961218837,92057.4,53661.6,166.5,138.875,109.95833333333333,111.54166666666667
L,298.4,308.4,1515,40.1,179,0,No Failure,2024-01-02 12:45:00,2024,1,2,Tuesday,10.0,6362.213052949061,High,37.780548628428924,92026.55999999998,55203.6,169.75,141.45833333333334,112.47916666666667,111.89583333333333
M,298.3,308.3,1379,48.0,181,0,No Failure,2024-01-02 13:00:00,2024,1,2,Tuesday,10.0,6931.970509383378,High,28.729166666666668,91965.89000000001,55802.3,173.5,144.16666666666666,115.0625,112.25
L,298.4,308.3,1473,39.9,184,0,No Failure,2024-01-02 13:15:00,2024,1,2,Tuesday,9.900000000000034,6154.982825067023,High,36.91729323308271,91996.72,56727.200000000004,176.5,146.875,117.64583333333333,112.60416666666667
L,298.4,308.3,1422,42.7,186,0,No Failure,2024-01-02 13:30:00,2024,1,2,Tuesday,9.900000000000034,6358.851373994638,High,33.30210772833723,91996.72,57343.8,179.5,149.625,120.25,112.9375
M,298.4,308.2,1463,37.6,188,0,No Failure,2024-01-02 13:45:00,2024,1,2,Tuesday,9.800000000000011,5760.8076407506705,High,38.909574468085104,91966.87999999999,57941.6,182.5,152.375,122.85416666666667,113.27083333333333
M,298.4,308.2,1584,41.0,191,0,No Failure,2024-01-02 14:00:00,2024,1,2,Tuesday,9.800000000000011,6801.27345844504,High,38.63414634146341,91966.87999999999,58866.2,184.75,155.125,125.45833333333333,113.60416666666667
L,298.4,308.2,1850,27.0,194,0,No Failure,2024-01-02 14:15:00,2024,1,2,Tuesday,9.800000000000011,5231.023793565683,High,68.51851851851852,91966.87999999999,59790.799999999996,187.25,157.91666666666666,128.0625,113.94791666666667
L,298.4,308.2,1528,36.2,196,0,No Failure,2024-01-02 14:30:00,2024,1,2,Tuesday,9.800000000000011,5792.727882037534,High,42.209944751381215,91966.87999999999,60407.2,189.75,160.75,130.6875,114.30208333333333
H,298.4,308.2,1987,19.8,198,0,No Failure,2024-01-02 14:45:00,2024,1,2,Tuesday,9.800000000000011,4120.161695710455,High,100.35353535353535,91966.87999999999,61023.6,192.25,163.58333333333334,133.3125,114.65625
M,298.4,308.1,1495,46.0,203,0,No Failure,2024-01-02 15:00:00,2024,1,2,Tuesday,9.700000000000045,7201.952077747989,Very High,32.5,91937.04,62544.3,194.75,166.41666666666666,135.9375,115.0
H,298.4,308.2,1478,43.5,206,0,No Failure,2024-01-02 15:15:00,2024,1,2,Tuesday,9.800000000000011,6733.097352546917,Very High,33.97701149425287,91966.87999999999,63489.2,197.75,169.375,138.60416666666666,115.375
M,298.4,308.2,1499,40.0,211,0,No Failure,2024-01-02 15:30:00,2024,1,2,Tuesday,9.800000000000011,6279.323056300268,Very High,37.475,91966.87999999999,65030.2,200.75,172.33333333333334,141.22916666666666,115.76041666666667
L,298.4,308.2,1471,47.0,214,0,No Failure,2024-01-02 15:45:00,2024,1,2,Tuesday,9.800000000000011,7240.386226541555,Very High,31.29787234042553,91966.87999999999,65954.8,204.5,175.375,143.91666666666666,116.16666666666667
L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,2024-01-02 16:00:00,2024,1,2,Tuesday,9.800000000000011,8149.442861930296,Very High,21.12026359143328,91966.87999999999,66571.2,208.5,178.45833333333334,146.625,116.58333333333333
L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,2024-01-02 16:15:00,2024,1,2,Tuesday,9.800000000000011,7733.704758713136,Very High,26.9980879541109,91906.23000000001,67165.8,211.75,181.5,149.27083333333334,116.98958333333333
L,298.3,308.1,1586,35.5,0,0,No Failure,2024-01-02 16:30:00,2024,1,2,Tuesday,9.800000000000011,5896.342995978553,Very Low,44.67605633802817,91906.23000000001,0.0,214.75,184.41666666666666,151.89583333333334,117.39583333333333
M,298.4,308.2,1468,43.8,2,0,No Failure,2024-01-02 16:45:00,2024,1,2,Tuesday,9.800000000000011,6733.662868632708,Very Low,33.51598173515982,91966.87999999999,616.4,162.0,178.16666666666666,149.91666666666666,115.51041666666667
M,298.5,308.3,1440,43.6,5,0,No Failure,2024-01-02 17:00:00,2024,1,2,Tuesday,9.800000000000011,6575.067024128686,Very Low,33.027522935779814,92027.55,1541.5,109.0,171.79166666666666,147.9375,113.61458333333333
L,298.5,308.4,1733,26.0,8,0,No Failure,2024-01-02 17:15:00,2024,1,2,Tuesday,9.899999999999977,4718.708109919571,Very Low,66.65384615384616,92057.4,2467.2,56.25,165.45833333333334,145.97916666666666,111.69791666666667
H,298.4,308.2,1612,32.6,10,0,No Failure,2024-01-02 17:30:00,2024,1,2,Tuesday,9.800000000000011,5503.434986595174,Very Low,49.4478527607362,91966.87999999999,3082.0,3.75,159.16666666666666,144.04166666666666,109.79166666666667
H,298.4,308.3,1458,42.9,15,0,No Failure,2024-01-02 17:45:00,2024,1,2,Tuesday,9.900000000000034,6550.372821715818,Very Low,33.98601398601399,91996.72,4624.5,6.25,152.875,142.10416666666666,107.88541666666667
L,298.4,308.3,1318,59.1,22,0,No Failure,2024-01-02 18:15:00,2024,1,2,Tuesday,9.900000000000034,8157.443867292225,Very Low,22.301184433164128,91996.72,6782.6,9.5,146.66666666666666,140.20833333333334,106.0
M,298.4,308.2,1610,35.0,24,0,No Failure,2024-01-02 18:30:00,2024,1,2,Tuesday,9.800000000000011,5901.265080428954,Very Low,46.0,91966.87999999999,7396.799999999999,13.75,140.54166666666666,138.41666666666666,104.16666666666667
L,298.2,308.1,1462,50.8,27,0,No Failure,2024-01-02 18:45:00,2024,1,2,Tuesday,9.900000000000034,7777.898793565682,Very Low,28.77952755905512,91875.42,8318.7,17.75,134.375,136.625,102.33333333333333
M,298.1,308.0,1924,20.8,29,0,No Failure,2024-01-02 19:00:00,2024,1,2,Tuesday,9.899999999999977,4191.018766756033,Very Low,92.5,91814.8,8932.0,22.0,128.25,134.85416666666666,100.51041666666667
M,298.2,308.0,1591,33.7,32,0,No Failure,2024-01-02 19:15:00,2024,1,2,Tuesday,9.800000000000011,5615.019688337802,Very Low,47.2106824925816,91845.59999999999,9856.0,25.5,122.0,133.08333333333334,98.6875
L,298.2,308.1,1306,58.3,35,0,No Failure,2024-01-02 19:30:00,2024,1,2,Tuesday,9.900000000000034,7973.75586461126,Very Low,22.40137221269297,91875.42,10783.5,28.0,115.79166666666667,131.33333333333334,96.875
L,298.2,308.1,1382,43.5,37,0,No Failure,2024-01-02 19:45:00,2024,1,2,Tuesday,9.900000000000034,6295.764912868633,Very Low,31.770114942528735,91875.42,11399.7,30.75,109.58333333333333,129.60416666666666,95.07291666666667
L,298.2,308.1,1618,34.7,39,0,No Failure,2024-01-02 20:00:00,2024,1,2,Tuesday,9.900000000000034,5879.754524128687,Very Low,46.62824207492795,91875.42,12015.900000000001,33.25,103.375,127.875,95.45833333333333
L,298.2,308.2,1988,21.4,41,0,No Failure,2024-01-02 20:15:00,2024,1,2,Tuesday,10.0,4455.345174262734,Very Low,92.89719626168225,91905.23999999999,12636.199999999999,35.75,97.16666666666667,126.14583333333333,95.84375
L,298.2,308.2,1436,50.2,43,0,No Failure,2024-01-02 20:30:00,2024,1,2,Tuesday,10.0,7549.346514745308,Very Low,28.605577689243027,91905.23999999999,13252.6,38.0,90.91666666666667,124.41666666666667,96.22916666666667
L,298.2,308.3,1304,49.8,45,0,No Failure,2024-01-02 20:45:00,2024,1,2,Tuesday,10.100000000000023,6800.770777479893,Very Low,26.184738955823295,91935.06,13873.5,40.0,84.625,122.6875,96.58333333333333
L,298.2,308.3,1475,49.9,47,0,No Failure,2024-01-02 21:00:00,2024,1,2,Tuesday,10.100000000000023,7708.036611930295,Very Low,29.559118236472948,91935.06,14490.1,42.0,78.33333333333333,120.95833333333333,96.9375
H,298.2,308.3,1824,24.2,49,0,No Failure,2024-01-02 21:15:00,2024,1,2,Tuesday,10.100000000000023,4622.654155495979,Very Low,75.37190082644628,91935.06,15106.7,44.0,72.04166666666667,119.22916666666667,97.29166666666667
M,298.1,308.2,1342,48.1,54,0,No Failure,2024-01-02 21:30:00,2024,1,2,Tuesday,10.099999999999966,6760.032674262735,Low,27.9002079002079,91874.42,16642.8,46.0,65.625,117.5,97.64583333333333
L,298.1,308.2,1485,40.7,57,0,No Failure,2024-01-02 21:45:00,2024,1,2,Tuesday,10.099999999999966,6329.538790214478,Low,36.486486486486484,91874.42,17567.399999999998,48.75,59.291666666666664,115.8125,98.03125
L,298.2,308.2,1667,30.6,59,0,No Failure,2024-01-02 22:00:00,2024,1,2,Tuesday,10.0,5342.053451742628,Low,54.47712418300653,91905.23999999999,18183.8,51.75,52.875,114.125,98.41666666666667
L,298.2,308.2,1446,38.2,61,0,No Failure,2024-01-02 22:15:00,2024,1,2,Tuesday,10.0,5784.726876675603,Low,37.853403141361255,91905.23999999999,18800.2,54.75,46.416666666666664,112.4375,98.77083333333333
L,298.1,308.3,1301,56.0,63,0,No Failure,2024-01-02 22:30:00,2024,1,2,Tuesday,10.199999999999989,7629.859249329758,Low,23.232142857142858,91904.23000000001,19422.9,57.75,39.958333333333336,110.72916666666667,99.125
L,298.2,308.4,1379,43.1,65,0,No Failure,2024-01-02 22:45:00,2024,1,2,Tuesday,10.199999999999989,6224.331853217158,Low,31.995359628770302,91964.87999999999,20046.0,60.0,33.5,108.95833333333333,99.46875
L,298.3,308.5,1606,33.6,67,0,No Failure,2024-01-02 23:00:00,2024,1,2,Tuesday,10.199999999999989,5651.139410187669,Low,47.797619047619044,92025.55,20669.5,62.0,36.208333333333336,107.1875,99.80208333333333
M,298.3,308.4,1539,43.4,69,0,No Failure,2024-01-02 23:15:00,2024,1,2,Tuesday,10.099999999999966,6994.868465147452,Low,35.46082949308756,91995.72,21279.6,64.0,38.916666666666664,105.35416666666667,100.13541666666667
L,298.2,308.4,1477,49.9,72,0,No Failure,2024-01-02 23:30:00,2024,1,2,Tuesday,10.199999999999989,7718.48818699732,Low,29.59919839679359,91964.87999999999,22204.8,66.0,41.583333333333336,103.52083333333333,100.46875
L,298.2,308.4,1666,34.6,74,0,No Failure,2024-01-02 23:45:00,2024,1,2,Tuesday,10.199999999999989,6036.737600536194,Low,48.15028901734104,91964.87999999999,22821.6,68.25,44.25,101.70833333333333,100.80208333333333
H,298.2,308.4,1398,51.8,76,0,No Failure,2024-01-03 00:00:00,2024,1,3,Wednesday,10.199999999999989,7583.822050938337,Low,26.98841698841699,91964.87999999999,23438.399999999998,70.5,46.916666666666664,99.89583333333333,101.13541666666667
H,298.2,308.4,1678,34.6,81,0,No Failure,2024-01-03 00:15:00,2024,1,3,Wednesday,10.199999999999989,6080.219504021448,Low,48.49710982658959,91964.87999999999,24980.399999999998,72.75,49.458333333333336,98.0625,101.46875
L,298.3,308.5,1453,42.9,89,0,No Failure,2024-01-03 00:45:00,2024,1,3,Wednesday,10.199999999999989,6527.9092660857905,Low,33.86946386946387,92025.55,27456.5,75.75,51.916666666666664,96.22916666666667,101.82291666666667
H,298.3,308.6,1432,49.5,91,0,No Failure,2024-01-03 01:00:00,2024,1,3,Wednesday,10.300000000000011,7423.341152815014,Low,28.92929292929293,92055.38,28082.600000000002,80.0,54.625,94.5,102.22916666666667
M,298.4,308.6,1527,40.9,96,0,No Failure,2024-01-03 01:15:00,2024,1,3,Wednesday,10.200000000000045,6540.53912533512,Low,37.334963325183374,92086.24,29625.600000000002,84.25,57.291666666666664,92.77083333333333,102.625
L,298.4,308.7,1588,35.0,99,0,No Failure,2024-01-03 01:30:00,2024,1,3,Wednesday,10.300000000000011,5820.626675603217,Low,45.371428571428574,92116.07999999999,30561.3,89.25,60.083333333333336,91.04166666666667,103.05208333333333
L,298.4,308.6,1433,47.1,101,0,No Failure,2024-01-03 01:45:00,2024,1,3,Wednesday,10.200000000000045,7068.354138739946,Medium,30.424628450106155,92086.24,31168.600000000002,93.75,62.875,89.33333333333333,103.48958333333333
L,298.4,308.6,1609,35.0,103,0,No Failure,2024-01-03 02:00:00,2024,1,3,Wednesday,10.200000000000045,5897.599698391421,Medium,45.97142857142857,92086.24,31785.800000000003,96.75,65.625,87.60416666666667,103.92708333333333
L,298.3,308.5,1575,41.2,105,0,No Failure,2024-01-03 02:15:00,2024,1,3,Wednesday,10.199999999999989,6795.6182975871325,Medium,38.228155339805824,92025.55,32392.5,99.75,68.375,85.875,104.36458333333333
M,298.4,308.5,1636,35.7,107,0,No Failure,2024-01-03 02:30:00,2024,1,3,Wednesday,10.100000000000023,6116.496313672923,Medium,45.82633053221288,92056.4,33009.5,102.0,71.125,84.14583333333333,104.80208333333333
L,298.4,308.5,1490,37.9,110,0,No Failure,2024-01-03 02:45:00,2024,1,3,Wednesday,10.100000000000023,5913.936829758713,Medium,39.31398416886544,92056.4,33935.0,104.0,73.875,82.39583333333333,105.22916666666667
L,298.4,308.5,1741,32.8,112,0,No Failure,2024-01-03 03:00:00,2024,1,3,Wednesday,10.100000000000023,5980.311662198391,Medium,53.07926829268293,92056.4,34552.0,106.25,76.66666666666667,80.64583333333333,105.66666666666667
M,298.5,308.6,1344,53.0,114,0,No Failure,2024-01-03 03:15:00,2024,1,3,Wednesday,10.100000000000023,7459.785522788204,Medium,25.358490566037737,92117.1,35180.4,108.5,79.45833333333333,78.89583333333333,106.10416666666667
L,298.5,308.7,1609,35.3,117,0,No Failure,2024-01-03 03:30:00,2024,1,3,Wednesday,10.199999999999989,5948.150552949061,Medium,45.58073654390935,92146.95,36117.9,110.75,82.25,77.14583333333333,106.54166666666667
M,298.4,308.7,1421,60.7,119,1,Power Failure,2024-01-03 03:45:00,2024,1,3,Wednesday,10.300000000000011,9033.040800938337,Medium,23.410214168039538,92116.07999999999,36735.299999999996,113.25,85.08333333333333,75.35416666666667,106.97916666666667
L,298.4,308.6,1591,36.7,122,0,No Failure,2024-01-03 04:00:00,2024,1,3,Wednesday,10.200000000000045,6114.873073056301,Medium,43.35149863760218,92086.24,37649.200000000004,115.5,87.79166666666667,73.54166666666667,107.38541666666667
L,298.4,308.6,1477,44.0,124,0,No Failure,2024-01-03 04:15:00,2024,1,3,Wednesday,10.200000000000045,6805.881367292225,Medium,33.56818181818182,92086.24,38266.4,118.0,90.5,71.6875,107.80208333333333
L,298.4,308.7,1523,36.1,126,0,No Failure,2024-01-03 04:30:00,2024,1,3,Wednesday,10.300000000000011,5757.822972520107,Medium,42.18836565096953,92116.07999999999,38896.2,120.5,93.20833333333333,69.8125,108.21875
L,298.5,308.7,1575,33.9,128,0,No Failure,2024-01-03 04:45:00,2024,1,3,Wednesday,10.199999999999989,5591.540298257372,Medium,46.46017699115045,92146.95,39513.6,122.75,95.91666666666667,67.9375,108.60416666666667
H,298.4,308.7,1344,52.9,130,0,No Failure,2024-01-03 05:00:00,2024,1,3,Wednesday,10.300000000000011,7445.710455764074,Medium,25.406427221172024,92116.07999999999,40131.0,125.0,98.625,66.0625,108.97916666666667
L,298.4,308.7,1386,44.9,135,0,No Failure,2024-01-03 05:15:00,2024,1,3,Wednesday,10.300000000000011,6517.195878016086,Medium,30.868596881959913,92116.07999999999,41674.5,127.0,101.33333333333333,68.77083333333333,109.34375
M,298.3,308.6,1589,37.1,137,0,No Failure,2024-01-03 05:30:00,2024,1,3,Wednesday,10.300000000000011,6173.749581099196,Medium,42.83018867924528,92055.38,42278.200000000004,129.75,104.16666666666667,71.54166666666667,109.73958333333333
L,298.3,308.6,1548,40.3,140,0,No Failure,2024-01-03 05:45:00,2024,1,3,Wednesday,10.300000000000011,6533.21883378016,Medium,38.411910669975185,92055.38,43204.0,132.5,107.0,74.29166666666667,110.13541666666667
